qid,bm_loc,dn_loc,ans_loc,un_loc,pool_loc,bm_n,dn_n
ECTeihDWcNUSKARw,0.056666666666666664,0.05,0.32,0.04390243902439024,870,17,15
d7NoT4bFmqUz0boE,0.05,0.05333333333333334,0.44,0.047516198704103674,323,15,16
eLypTSoIY0DA8Vzp,0.0,0.016666666666666666,0.1,0.008517887563884156,1638,0,5
HU8rKSNjfNVrClFE,0.01,0.006666666666666667,0.1,0.008976660682226212,134,3,2
VgbuK87qSgWEGElz,0.14,0.09333333333333334,0.96,0.10752688172043011,12145,42,28
yBWLWCQkxQsLrnQ8,0.08,0.09,0.76,0.07945736434108527,12145,24,27
pgiIHko2P8nOoh8v,0.09,0.02,0.58,0.054945054945054944,19543,27,6
0xiWwHRveL4G7TLE,0.03,0.03666666666666667,0.36,0.03237410071942446,3070,9,11
NJ7ZXEg8OH4UDnkY,0.056666666666666664,0.06333333333333334,0.42,0.04941176470588235,1638,17,19
BvoOcrTAEqxMVdjf,0.09333333333333334,0.05,0.68,0.06581352833638025,3070,28,15
2KheyMFjI7Ly7GHT,0.043333333333333335,0.03,0.32,0.03587443946188341,1927,13,9
81wSCQCULy2eaoJK,0.24666666666666667,0.31,1.0,0.2383177570093458,19543,74,93
MQzQh3sInflbUhri,0.02,0.05,0.32,0.033932135728542916,613,6,15
ZIP13Ye5O74J8F8C,0.14333333333333334,0.17,1.0,0.14361702127659576,19543,43,51
XtqVJkF4coGYYMou,0.0033333333333333335,0.0033333333333333335,0.04,0.003418803418803419,384,1,1
PvwnPTgtWbYsm8pD,0.05333333333333334,0.05333333333333334,0.52,0.052,1284,16,16
bwVJIYEdtWgW3BNE,0.07,0.056666666666666664,0.44,0.05069124423963134,2080,21,17
2K0GQgFdd2YibTBi,0.03333333333333333,0.02,0.28,0.029978586723768737,1646,10,6
LYBdAHhc5dhybsZP,0.0,0.0,0.0,0.0,0,0,0
evPZKz4XajsQbivJ,0.016666666666666666,0.013333333333333334,0.16,0.015151515151515152,977,5,4
xfa7uZdq610IWN25,0.14333333333333334,0.12333333333333334,0.98,0.12691466083150985,12145,43,37
nciq3kc00LWfFO97,0.06333333333333334,0.18666666666666668,0.72,0.12746858168761221,19543,19,56
3pFTurAVhhatTn3r,0.0,0.0,0.0,0.0,0,0,0
JFxodZ1GtnkTTPOR,0.03,0.04666666666666667,0.3,0.035,621,9,14
gnhKiVlK02Ly8py3,0.023333333333333334,0.08333333333333333,0.54,0.04963235294117647,2326,7,25
juPL4fhGsRAfz4RA,0.08,0.006666666666666667,0.3,0.041736227045075125,1927,24,2
KY8y2QZxQbYfMvP1,0.0,0.0,0.0,0.0,0,0,0
EGf6MgN4B60MPngU,0.02666666666666667,0.02,0.24,0.022099447513812154,621,8,6
zRbOuJKZw99H26tx,0.19,0.13,0.92,0.15664845173041894,19543,57,39
yxuAqG0CZ6bCl4MP,0.0033333333333333335,0.013333333333333334,0.1,0.008976660682226212,310,1,4
Zdx1blJsxqi2CpCi,0.0,0.0,0.0,0.0,0,0,0
A8IijQHJjcWtfoC0,0.056666666666666664,0.043333333333333335,0.32,0.05084745762711865,12145,17,13
S1kndubWjm6J1lHP,0.0,0.0,0.0,0.0,0,0,0
nQQyWLk1rO2lgaME,0.016666666666666666,0.013333333333333334,0.14,0.013307984790874524,2193,5,4
qzKDlPrzRb2bn63u,0.05333333333333334,0.01,0.34,0.032148900169204735,3659,16,3
PvmayRRXVTFQMb13,0.06333333333333334,0.06666666666666667,0.52,0.053061224489795916,368,19,20
sUiAN4K3So0x3M5P,0.07333333333333333,0.06666666666666667,0.56,0.056112224448897796,12145,22,20
h6aoxmLthNTMp80l,0.08333333333333333,0.11,0.92,0.09320388349514563,19543,25,33
Jqr9BlNZD31PHE6B,0.0,0.0,0.0,0.0,0,0,0
gsYSaM6ARbm1xPiH,0.02,0.01,0.18,0.018367346938775512,1583,6,3
F2BHO5nfGDTa4ol6,0.17333333333333334,0.07333333333333333,0.94,0.1203883495145631,19543,52,22
UPP0pDFPK4Gmgklb,0.0033333333333333335,0.02,0.14,0.012589928057553957,1638,1,6
dwMv0FP4KZXmkBGs,0.02,0.023333333333333334,0.14,0.012544802867383513,1616,6,7
2Vcxsswu3UtylapY,0.21333333333333335,0.25333333333333335,1.0,0.19964349376114082,19543,64,76
FpIAgd0MvJsSlvhZ,0.01,0.03,0.2,0.0225140712945591,968,3,9
zRU2hwrWu6p56dU6,0.056666666666666664,0.023333333333333334,0.42,0.03898305084745763,3178,17,7
sy8xZdG0Ga96mXwl,0.06,0.06666666666666667,0.5,0.05112474437627812,3070,18,20
87tEm8xtyzvH6bRX,0.0,0.0,0.0,0.0,0,0,0
2F3fRdgkGmDxBqvm,0.0033333333333333335,0.0,0.0,0.0017985611510791368,268,1,0
btTIAmMJEfuG0Kct,0.03333333333333333,0.03666666666666667,0.26,0.03611738148984198,1583,10,11
17J6Sa3sKh1SDksu,0.04,0.0033333333333333335,0.26,0.025390625,433,12,1
Lk6jdFz0KEw9NMId,0.056666666666666664,0.03333333333333333,0.36,0.038817005545286505,4494,17,10
y1okR2Uv86OfnpE3,0.1,0.056666666666666664,0.78,0.08015267175572519,12145,30,17
tXj8Cs5xoU8QSW6M,0.08666666666666667,0.13333333333333333,0.98,0.10357142857142858,19543,26,40
xxbKmwe9Ut4cWSju,0.03,0.043333333333333335,0.34,0.03389830508474576,2726,9,13
o3fVWZeC7xopae18,0.023333333333333334,0.03,0.24,0.023255813953488372,914,7,9
10RZdP046pFP08wF,0.06333333333333334,0.043333333333333335,0.38,0.04139433551198257,3659,19,13
bGFH5iBgoiyWDE4t,0.13,0.11666666666666667,1.0,0.1227364185110664,19543,39,35
9D8JhYzezJ0vmQTq,0.04,0.02,0.3,0.029644268774703556,910,12,6
qcSAeTL1P1H64f8G,0.0,0.0,0.0,0.0,0,0,0
dKTwYBzKmnSoZsDh,0.03,0.04666666666666667,0.36,0.034358047016274866,4494,9,14
ravkgqFgQ0QzsIq8,0.43,0.4266666666666667,1.0,0.37971698113207547,19543,129,128
SIUKQ0tpFSNs4T2w,0.0,0.0,0.0,0.0,0,0,0
htqOyRpZ0BYVvDrQ,0.06666666666666667,0.08333333333333333,0.56,0.059957173447537475,2726,20,25
g1rRx6axOH4WxeF8,0.043333333333333335,0.023333333333333334,0.26,0.02578268876611418,3157,13,7
UEkW778tqIUUJqO9,0.06666666666666667,0.02666666666666667,0.4,0.03460207612456748,47,20,8
I08oOoFTjC07Vrta,0.02666666666666667,0.016666666666666666,0.26,0.02526315789473684,849,8,5
3LiXTg1eVTc2le1B,0.14,0.09666666666666666,0.96,0.10275229357798166,12145,42,29
h1QCtDc5jh47g39c,0.0,0.0,0.0,0.0,0,0,0
JngF5olRZTJiI3CU,0.18,0.13,1.0,0.14629629629629629,19543,54,39
1GHH8ZCIbHuATKtf,0.18666666666666668,0.2733333333333333,0.94,0.20930232558139536,19543,56,82
1QwVJVMILy787lkp,0.04,0.03,0.38,0.037109375,3070,12,9
ZWKtxHh26j2fWhD0,0.0,0.0,0.0,0.0,0,0,0
gBq5NvlLkDWXfdFs,0.056666666666666664,0.12333333333333334,0.84,0.08333333333333333,4494,17,37
KKnfJy7qjAImf0jW,0.006666666666666667,0.006666666666666667,0.06,0.005836575875486381,585,2,2
c8MzkMLcFaZAzimc,0.08,0.05,0.46,0.0616822429906542,12145,24,15
